genus,Mock01,Mock02,Mock03,Mock04,Mock05,Mock06,Mock07,Mock08,Mock09,Mock10
Achromobacter,32283,40983,377640,176846,338909,170252,90319,209034,42003,11724
Acidaminococcus,72,71,73,221,150,70,215,102,57,41
Acinetobacter,18690,10331,31033,15851,6472,875,820,3479,186801,7792
Actinomyces,3620.0103,1267,9003,252329,40765,2937,129760,5806,30553,24817
Adlercreutzia,34,18,32,16,8,14,63,37,36,9
Aeromonas,81,8,11,5,11,6,31,19,9,1
Akkermansia,113,69,110,89,46,39,176,168,119,66
Alistipes,212206,388246,317667,1242459,291121,59817,217436,70860,410488,78365
Anaerococcus,2689.1028,2288,4478,2374,5626,5433,2072,2554,5876,2927
Anaerofustis,139,143,302,65,422,152,576,106,225,570
Anaeromassilibacillus,56,90,147,170,126,95,303,121,80,67
Anaerosporobacter,267,239,448,229,384,252,204,173,224,160
Anaerostipes,33,48,24,129,26,32,26,14,16,20
Anaerotignum,68,75,138,378,59,26,20,11,19,15
Anaerotruncus,99,119,223,158,121,120,449,81,61,49
Atopobium,1028,411,234,13,109,6,66,17,24,391
Azospirillum,167,128,122,194,136,146,202,98,268,70
Bacillus,34074,65231,31968,26836,398433,47438,34198,29676,42230,52160
Bacteroides,557087,242107,1220409,1167535,763834,287086,357210,870672,327005,491410
Barnesiella,22702,151610,11654,23391,93386,491082,37812,34822,18462,6775
Bifidobacterium,143181,140514,561953,258206,248264,546514,1671695,702086,773604,742147
Blastococcus,12,11,68,26,11,5,66,25,23,33
Blautia,1078013,467536,290232,1874492,967618,633042,318485,287583,431966,768961
Brachyspira,44,93,199,56,130,132,156,76,57,113
Brevibacterium,10,15,48,29,17,12,103,68,28,37
Butyricicoccus,178,199,208,478,166,180,566,285,752,108
Butyricimonas,21959,251267,2115,89047,12004,21649,5878,16194,9174,123210
Butyrivibrio,2028,3501,1528,3739,2064,2582,2075,1964,1389,1744
Campylobacter,371,557,766,390,780,715,610,347,344,450
Catenibacterium,163,548,593,459,498,371,345,286,280,178
Cellulomonas,9,6,30,40,13,13,55,47,51,63
Citrobacter,34668,34657,1481,3706,4294,12337,2711,10993,8729,4685
Cloacibacillus,80,48,88,281,77,16,187,345,51,174
Clostridium,2062910.0103,773668,1620238,1278644,1079267,3104689,805911,978547,1320652,849697
Collinsella,65125,270484,688439,147342,67370,426256,119688,42977,308943,87745
Coprobacillus,4708,1783,2387,4985,4652,2676,3697,2011,4786,5750
Coprococcus,1948,3559,1263,2789,1895,1253,1277,753,2295,1511
Corynebacterium,3771,33961,9126,2087,7575,4918,33345,49871,49939,4255
Cryptobacterium,28,21,15,22,17,10,30,9,17,15
Desulfovibrio,1538,951,1204,1679,1163,966,3630,2821,2625,1387
Dialister,1538,1493,5729,2644,1237,885,2154,930,1787,1798
Dorea,134507,188538,62469,61952,119004,88613,252652,135910,301804,82855
Dysgonomonas,579,631,1179,1152,1083,806,679,686,544,608
Edwardsiella,269,167,60,90,94,55,112,207,282,41
Eggerthella,3497,2446,2413,2337,1995,1755,4540,3699,3624,2143
Enterobacter,798577,279111,11764,8410,22402,27788,105109,32736,35266,128555
Enterococcus,1260577,3267402,427001,353821,2025857,819250,649601,1002027,677798,3245015
Eubacterium,75959,102922,65737,63752,55424,44658,66963,171699,23290,16681
Exiguobacterium,21487,35787,48571,35064,49438,41118,109711,105876,424787,141863
Faecalibacterium,12064,23596,24038,123902,61806,39909,718499,12438,22559,3192
Finegoldia,228,404,1379,626,1667,887,411,1337,4897,478
Flavobacterium,185,273,206,129,116,99,87,93,69,357
Franconibacter,190,24,7,8,9,3,31,38,18,3
Fusobacterium,116947.0103,43700,78780,56553,67223,161691,37168,45734,49831,50305
Garciella,46,103,190,164,130,77,61,40,75,42
Gemella,35,97,172,67,151,144,82,89,61,68
Gemmiger,27,28,13,27,40,22,63,58,11,14
Granulicatella,152,90,76,88,121,63,550,94,102,77
Halomonas,89,11,39,31,44,17,49,41,359,19
Helicobacter,649,828,953,587,1172,881,857,529,548,730
Klebsiella,186832.0308,76780,173218,120015,140722,311676,252846,1106386,1465393,229690
Lachnobacterium,17733,14400,10700,29566,12529,10278,14978,7797,8715,14220
Lachnoclostridium,469,371,296,1052,522,315,765,224,315,367
Lachnospira,28713,192891,8850,24826,13879,15761,6091,3180,5253,22239
Lactobacillus,1506068,962273,2138277,672247,443533,537116,1725296,513602,654089,1267094
Leuconostoc,6914,77262,3141,4600,28847,3678,2747,36267,2120,51601
Listeria,870,432,285,139,990,289,502,652,266,2374
Marvinbryantia,138,58,169,182,205,38,85,45,242,163
Massiliomicrobiota,38,49,102,60,108,63,75,42,73,79
Megamonas,576,310,689,309,606,562,432,333,282,586
Megasphaera,1712,1607,185671,52998,11577,466,1165,576,2840,789
Morganella,110,36,24,59,17,18,39,44,55,11
Negativicoccus,0,6,1,8,6,2,6,9,5,2
Neisseria,51,50,33,26,14,12,68,28,29,12
Nesterenkonia,12,4,4,7,6,3,29,21,5,7
Odoribacter,20185,135856,27835,136635,944830,137049,58213,860308,33688,66670
Olsenella,235,265,1168,186,174,351,614,316,933,306
Oribacterium,21,1,10,11,23,7,4,11,2,103
Oscillibacter,393,592,394,3271,1912,986,2929,2397,782,279
Oxalobacter,75,162,183,117,150,315,75,119,89,42
Paenibacillus,139,102,114,114,96,97,279,230,176,78
Pantoea,2666,392,333,242,169,232,510,1928,1920,212
Parabacteroides,28722,15318,60836,38269,28804,17322,29014,29042,39174,43003
Paraprevotella,1221,1347,1186,3396,3071,1054,1468,2187,1572,2282
Pediococcus,50896,237913,8338,21549,73226,264089,148909,101887,149350,201015
Pelosinus,84,114,50,106,100,61,124,62,77,58
Peptoniphilus,4617,12083,85990,17816,208940,59228,9131,28379,552187,42972
Peptostreptococcus,22,78,152,60,139,101,51,64,48,44
Phascolarctobacterium,1065,1162,1171,1848,1608,832,1445,1139,1185,760
Phyllobacterium,31,27,29,66,56,248,237,68,36,31
Porphyromonas,216,194,285,196,516,137,284,266,204,122
Prevotella,31395,29596,38846,43155,45570,34031,48494,55933,58533,35501
Propionibacterium,54,72,109,63,47,35,148,113,102,57
Propionimicrobium,7,8,17,9,15,7,33,25,8,16
Proteus,1647,282,143,103,192,217,241,746,730,87
Providencia,2362,2672,1853,1629,3244,1712,2197,2143,2274,2598
Pseudobutyrivibrio,1440,2092,909,1791,1142,1059,1277,870,991,1274
Pseudomonas,996,414,651,978,370,391,1271,1271,2611,407
Ralstonia,71,36,43,32,19,14,101,94,69,25
Robinsoniella,1275,622,826,1678,1783,995,711,1056,723,1149
Roseburia,212141,250477,66898,51007,82652,76898,80410,45407,37119,138139
Rothia,11,7,2,8,7,3,12,9,7,4
Ruminococcus,89447,293679,312508,205701,171987,304703,436735,181431,47040,60470
Sanguibacteroides,99,935,12,433,78,483,23,89,44,470
Selenomonas,38,58,208,103,63,79,213,124,65,56
Slackia,230,181,1229,1564,523,582,1235,378,2029,288
Sneathia,88,256,591,223,524,589,692,324,223,277
Solobacterium,31394,25657,30460,30850,38070,28722,28061,28173,29076,38927
Sporolactobacillus,16,11,21,16,8,11,14,11,23,2
Staphylococcus,189951.8355,9633,33746,16789,65685,170719,177062,973219,49592,40570
Streptococcus,108969,192379,237646,380265,175711,248381,450522,465241,493162,78053
Streptomyces,56,51,130,147,72,52,304,226,195,186
Subdoligranulum,88,77,100,65,251,68,180,45,22,85
Succinatimonas,81,87,192,83,204,66,112,74,39,38
Succiniclasticum,25,18,32,34,38,14,127,46,32,15
Sutterella,30410,5078,16352,13695,8172,103151,31972,45510,128649,14656
Treponema,107,96,80,166,121,121,174,62,81,73
Veillonella,2444,2496,3341,2091,3403,2695,2311,1926,2066,2531
Weissella,406,569,187,269,388,445,431,621,325,790
Xylanibacter,167,161,536,312,206,233,163,137,195,69
unclassified,699906,615653,624325,827576,735048,608203,684516,657688,694897,691440
